bank,url
Bajaj Finance Limited,https://www.bajajfinserv.in/finance-investor-relations-financial-information
Kiatnakin Phatra Public Company Limited,https://ir.kkpfg.com/th/updates/pillar-disclosure
KDB Asia Limited,https://www.kdb.co.kr/CHGMHK99N27.act?GmBrnId=AL&_mnuId=IHIHGM2065&GmMlngTc=en
Fukuoka Hibiki Shinkin Bank,http://www.fukuokahibiki.co.jp/about/disclosure2015.php
Netfonds Bank AS,https://www.netfonds.no/om.php
UK Asset Resolution Limited,http://www.ukar.co.uk/media-centre/press-releases/2016
Sparkasse Engen- Gottmadingen,https://www.sparkasse-engo.de/de/home/ihre-sparkasse/ihre-sparkasse-vor-ort.html?n=true&stref=hnav
Banca di Capranica Credito Cooperativo,http://www.bancadicapranica.it/doc/default.asp?i_menuID=47634
COOPESPARTA R.L.,https://www.infocoop.go.cr/node/1311
Jordan Mortgage Refinance Company PLC,http://www.jmrc.com.jo/repoerts.aspx?lng=1&p=list8&id=29
Bac A Commercial Joint Stock Bank,https://www.baca-bank.vn/SitePages/website/danh-muc-quan-he-co-dong.aspx?ac=QUAN%20H%E1%BB%86%20C%E1%BB%94%20%C4%90%C3%94NG&s=QHCD
Factoring Bancolombia SA CFC,http://www.factoringbancolombia.com/cs/Satellite?c=Page&cid=1266348874540&pagename=Factoring%2FFT_TemplateConHome
Ripley Compania De Financiamiento SA,http://www.ripleycf.co/newsite/quienes-somos.html
Grupo Financiero Multiva SAB,http://www.multiva.com.mx/wps/wcm/connect/GrupoFinanciero/Grupo+Financiero/Estados+Financieros/
"MUFG Bank, Ltd",https://ri.bb.com.br/informacoes-financeiras/demonstracoes-contabeis-em-ifrs/
Daiwa Capital Markets America Inc,http://www.us.daiwacm.com/company/manual.html
Luzerner Kantonalbank AG,https://www.lukb.ch/web/lukb/-/geschaftsergebnisse
Bank Rabobank International Indonesia,https://www.rabobank.co.id/en/investor/laporan/Laporan%202020.html#accordion-
Commerzbank Finance & Covered Bond S.A,"http://www.cfcb.lu/myWeb/content/www/CFCB/investorrelations/geschaeftsberichte/geschaeftsberichte,lang=DE.html"
Commerzbank Finance & Covered Bond S.A,"http://www.cfcb.lu/myWeb/content/www/CFCB/investorrelations/deckungsstock/archive/Arcive,lang=EN.html"
East West Bank,http://investor.eastwestbank.com/GenPage.aspx?IID=4040606&GKP=1073750099
"Mercantil Holding Financiero Internacional, S.A.",https://holding19.wpcomstaging.com/en/relationship-with-investors/financial-information/mercantil-holding-en/
Helaba Asset Services,http://www.helaba.de/hlb/generator/wwwroot/Helaba/InvestorRelations/Geschaeftsbericht/isGeschaeftsbericht.en.html
Grupo BNS de Costa Rica SA,https://www.scotiabankcr.com/acerca/relaciones-con-inversionistas/estados-financieros/scotiabank.aspx
Arbejdsmarkedets Tillaegspension,https://www.atp.dk/en/results-and-reports/annual-and-interim-reports
"Colony Bankcorp, Inc",https://investors.colonybank.com/sec-filings/documents/default.aspx
Saga Shinkin Bank,http://www.sagashin.co.jp/about/disclosure/index.html
Nurbank JSC,https://nurbank.kz/en/investor/financial_results/financial_results_all
Ecobank Burundi SA,http://www.ecobank.com/annualreports.aspx?cid=74090
Langaa Sparekasse,https://www.spardjurs.dk/Om-Os/Sparekassen-i-tal
Raiffeisenbank Noerdliche Bergstrasse Eg,https://www.raiba-alsbach.de/wir-fuer-sie/ueber-uns/zahlen-fakten.html
Municipality Credit Iceland Plc,http://www.lanasjodur.is/english/financial-statements/
Sparkasse Bamberg,https://www.sparkasse-bamberg.de/de/home/ihre-sparkasse/finanzpublikationen.html?n=true
Arquia Bank SA,https://www.arquia.es/site/es/informe_anual
JSC SB Alfa Bank,https://www.alfabank.kz/footer/about/annual-reports
Korea Investment Holdings Co. Ltd,http://www.koreaholdings.com/en/bbs/annualreport/list
Korea Investment Holdings Co. Ltd,https://www.koreaholdings.com/en/bbs/fact_sheet/list
Saffron Building Society,https://www.saffronbs.co.uk/members/report-and-accounts/
Burgan Bank KPSC,http://www.burgan.com/aboutus/SitePages/InvestorCenter.aspx
Nava Banka dd,http://www.navabanka.hr/annual_reports
Vik Sparebank,http://viksparebank.no/om-oss#GenericTabItem2
Banca di Credito Cooperativo di Sant'Elena,http://www.santelenabanca.it/doc/default.asp?i_archivioID=10647&i_cartellaID=32767&i_menuID=37236
Banca di Credito Cooperativo di Sant'Elena,http://www.bancapatavina.it/template/default.asp?i_menuID=53363
Raiffeisen-Holding Niederösterreich-Wien registrierte Genossenschaft mit beschränkter Haftung,http://www.rhnoew.at/eBusiness/01_template1/1021234568466-438807703494677207_542005487680122017-542005487680122017-NA-37-NA.html
Kreissparkasse Herzogtum Lauenburg,https://www.ksk-ratzeburg.de/de/home/ihre-sparkasse/ihre-sparkasse-vor-ort.html?n=true&stref=hnav
Ohio Legacy Corp.,http://www.snl.com/irweblinkx/news.aspx?iid=4051079
Jyske Realkredit A/S,https://jyskerealkredit.dk/
Bank of Jordan Plc,https://bankofjordan.com/en/reports/AnnualReports
Bank of Jordan Plc,https://bankofjordan.com/en/financial-statements
Bank Mandiri (Persero) Tbk,https://www.bankmandiri.co.id/en/web/ir
Bank Mandiri (Persero) Tbk,https://www.bankmandiri.co.id/en/web/ir/quarterly-financials
First National Bank Alaska,https://cdr.ffiec.gov/public/ManageFacsimiles.aspx
AMB Financial Corp,https://www.acbanker.com/amb-reports.php
Bank of Ningbo,http://www.nbcb.com.cn/about_nbcb/information_diclosure/periodic_report/
Banca Popolare di Vicenza Societa per azioni,http://www.popolarevicenza.it/bpvi-web/home/Investor-Relations-ENG/financialData.html
Afriland First Bank LIBERIA Limited,https://afrilandfirstbanklb.com/index.php/en/the-group
VR-Bank Dornstetten-Horb eG,https://www.volksbank-dornstetten.de/wir-fuer-sie-volksbank-dornstetten/hausbankinfo.html
Clifton Bancorp Inc,http://www.cliftonbancorp.com/financials-and-filings/sec-filings.aspx
Grupo Financiero Agromercantil,https://www.bam.com.gt/informacion-corporativa/
Etris Bank GmbH,http://www.etrisbank.de/service/formulare-publikationen.html
Banca di Credito Cooperativo di Sambuca di Sicilia,http://www.creditocooperativosicilia.it/pg.documenti.lista.php
Stadtsparkasse Blomberg/Lippe,https://www.sparkasse-blomberg.de/de/home/ihre-sparkasse/ihre-sparkasse-vor-ort.html?n=true&stref=hnav
Bankers Investment Trust Plc,https://www.henderson.com/ukpi/fund/168
Tarjetas Del Mar S.A.,https://aif2.cnv.gov.ar/presentations/publicview/061a4a8b-1044-4195-a4b2-174f21933b61
Kreissparkasse Grafschaft Bentheim zu Nordhorn,https://www.sparkasse-nordhorn.de/module/offenlegung/index.php?n=%2fmodule%2fihre_sparkasse%2foffenlegungsbericht%2f
Srisawad Corporation Public Company Limited,https://investor.sawad.co.th/th/downloads/financial-statements
American Capital Ltd,http://ir.americancapital.com/phoenix.zhtml?c=109982&p=irol-irhome
"Yamagata Shiawase Bank, Ltd.",http://www.bank-ir.ne.jp/yamagata-shiawase
Banca Delle Terre Venete Credito Cooperativo - Societa' Cooperativa,http://www.crabrendola.it/doc2/default.asp?i_archivioID=41484&i_cartellaID=37074&i_menuID=41486
Blackfriars Asset Management Limited,https://find-and-update.company-information.service.gov.uk/company/03173991/filing-history
Cooperativa de Ahorro y Crédito La Dolorosa,https://ladolorosa.fin.ec/transparencia/
Banca di Credito Cooperativo Agrigentino Societa Cooperativa,http://www.bccagrigentino.it/doc2/default.asp?i_menuID=51762
Veneto Banka Sh.a..,https://www.venetobanka.al/sq/pasqyrat-financiare
First Citizens BancShares,https://www.firstcitizens.com/about/who-we-are/annual-report
First Citizens BancShares,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000798941&owner=exclude&count=40
Banca di Credito Cooperativo di Castel Goffredo,http://www.bcccastelgoffredo.it/doc/default.asp?i_archivioID=24523&i_cartellaID=39377&i_menuID=43907
Stadtsparkasse Lengerich (Westfalen),https://www.stadtsparkasse-lengerich.de/de/home/ihre-sparkasse/ihre-sparkasse-vor-ort/publikationen---zahlen.html?n=true
Sparkasse Neuburg-Rain,https://www.sparkasse-neuburg-rain.de/module/ueber_uns/pressecenter/details/index.php?meldung=2&n=%2Fmodule%2Fpressecenter%2Fdetails%2F
Volksbank Raiffeisenbank Nuernberg eG,https://www.vrbanknuernberg.de/teilhaberbank/geschaeftsbericht.php
Bank Diamant,http://diamantbank.ua/en/pages/about-bank/financial-statements.html
Banca Centro Emilia - Credito Cooperativo,http://www.bancacentroemilia.it/template/default.asp?i_menuID=46957
Lakshmi Vilas Bank Ltd,http://www.lvbank.com/audfinancialresults.aspx
Banca di Credito Cooperativo dell'Alto Tirreno Della Calabria Verbicaro (Provincia di Cosenza)- Societa cooperativa,http://www.bccaltotirreno.it/index.php?action=informative
"KB Securities Co.,Ltd",https://www.kbfg.com/Eng/Report/Fbannual/Kbfg/2016/list.jsp
"Cooperativa de Economia e Crédito Mútuo dos Servidores Públicos nos Estados de Alagoas, Sergipe, Bahia e Empresários da Região Metropolitana do Agreste Alagoano",https://www.sicoob.com.br/web/sicoobleste/relatorios/-/document_library/O3r9u4hoQPtB/view/3495981?_com_liferay_document_library_web_portlet_DLPortlet_INSTANCE_O3r9u4hoQPtB_redirect=https%3A%2F%2Fwww.sicoob.com.br%2Fweb%2Fsicoobleste%2Frelatorios%3Fp_p_id%3Dcom_liferay_document_library_web_portlet_DLPortlet_INSTANCE_O3r9u4hoQPtB%26p_p_lifecycle%3D0%26p_p_state%3Dnormal%26p_p_mode%3Dview
Tip Mexico SAPI DE CV,https://www.tipmexico.com/conocenos/relacion-inversionistas/emision-tipcb14/
Erste Bank a.d. Novi Sad,https://www.erstebank.rs/en/about-us/financial-statements/nonaudited-financial-reports
Caisse des Dépôts et Consignations,http://www.caissedesdepots.fr/mediatheque/rapports-annuels.html
Land Bank of Taiwan,https://www.landbank.com.tw/Category/Items/%E8%B2%A1%E5%8B%99%E6%A5%AD%E5%8B%99%E8%B3%87%E8%A8%8A-%E8%B2%A1%E5%A0%B1
Land Bank of Taiwan,https://www.landbank.com.tw/En/Category/Items/Annual_Report
"Kookmin Bank (China) Co., Ltd.",https://www.kbfg.com/Kor/ir/presentaion/list.jsp
COOPERATIVA DE CREDITO CREDIJEQUITINHONHA LTDA.,https://www.sicoob.com.br/web/sicoobcredijequitinhonha/publicacoes/-/document_library/O3r9u4hoQPtB/view/36600711?_com_liferay_document_library_web_portlet_DLPortlet_INSTANCE_O3r9u4hoQPtB_redirect=https%3A%2F%2Fwww.sicoob.com.br%2Fweb%2Fsicoobcredijequitinhonha%2Fpublicacoes%3Fp_p_id%3Dcom_liferay_document_library_web_portlet_DLPortlet_INSTANCE_O3r9u4hoQPtB%26p_p_lifecycle%3D0%26p_p_state%3Dnormal%26p_p_mode%3Dview
Trust Bank Limited (The Gambia),https://tblgambia.com/annual-reports/
Kreissparkasse Peine,https://www.sparkasse-hgp.de/de/home/ihre-sparkasse/ihre-sparkasse-vor-ort.html?n=true&stref=hnav
Scotiabank (Ireland) Designated Activity Company,"http://www.scotiabank.com/global/en/0,,6177,00.html"
Bank of Wenzhou Co Ltd,http://www.wzcb.com.cn/annals/view/annals_category_id/13
Varbergs Sparbank AB,https://www.varbergssparbank.se/om-oss/ekonomisk-information.html
Nord/LB Covered Finance Bank SA,http://www.nordlbcfb.lu/en-us/Pages/investor_relations/geschaeftsberichte.html
"Goldman, Sachs & Co LLC",http://www.goldmansachs.com/investor-relations/financials/current/subsidiary-financial-info/gsco/
"Busa Servicing, Inc.",http://www.ibanknet.com/scripts/callreports/reportlist.aspx?ibnid=usa_750864&per=20170331&actn=close
Fonds d’Equipement Communal,http://www.fec.ma/PageFr.aspx?id=29
Credit Europe Bank (Suisse) SA,https://www.crediteurope.ch/fr/financials/
RHB Bank Berhad,http://rhbgroup.com/about-us/our-regional-presence/thailand/commercial-banking
BancApulia SpA,http://www.bancapulia.it/web/bancapulia/bilanci
Raiffeisenbank Holzkirchen-Otterfing eG,https://www.rb-holzkirchen-otterfing.de/Was%20uns%20auszeichnet/unsere-bank1/ueber-uns/zahlen-fakten.html
Ylaneen Osuuspankki,https://www.op.fi/
Banco de Crédito e Inversiones SA,https://www.bci.cl/investor-relations-eng/financial-statements/
Expressbank AD,http://www.sgeb.bg/en/about-us/key-figures.html
Bank Otsar Hahayal Ltd,https://online.bankotsar.co.il/wps/portal/FibiMenu/Marketing/AnBankActivity/AnFinancialinfo
B. Metzler seel. Sohn & Co. Aktiengesellschaft,http://www.metzler.com/metzler/servlet/segment/startSite_en/About_us/Press/Download/11572/Download_Overview.html?aktivCategory=Annual+report
Niederrheinischen Sparkasse RheinLippe,https://www.nispa.de/de/home/toolbar/preise-und-hinweise.html?n=true&stref=footer
"""Gunay Bank"" Ojsc",http://gunaybank.com/about/reports/hesabatlar
SAUDI HOME LOANS COMPANY,https://www.saudihomeloans.com/en/financial-information
"Orrstown Financial Services, Inc",https://investors.orrstown.com/documents-1/default.aspx
Miyagi Daiichi Shinkin Bank,http://www.miyashinbank.co.jp/summary6.html
Bank of Greenland,https://www.banken.gl/en/investor/annual-reports/
EFG-Hermes Holding SAE,https://efghermes.com/en/financial--statements
NLB Banka AD Beograd,https://www.nlb.rs/en/strana/16821/annual-reports
"JSCB ""INDUSTRIALBANK""",http://industrialbank.ua/en/about/fin_rep_eng/ann_reports/
"Sg Securities Korea Co., Ltd",https://www.saramin.co.kr/zf_user/company-info/view-inner-finance?csn=cFpGbFFTU2tueDI3ZjNObzllSmsxdz09
Banco Bradesco BBI SA,http://www.valor.com.br/sites/default/files/upload_element/13-08_bradesco_bbi_balanco.pdf
Japan Housing Finance Agency,http://www.jhf.go.jp/about/disclosure.html
Development Finance Corporation,http://www.dfcbelize.org/download-center/
AMRET PLC,https://amret.com.kh/en/annual-report/
Bank Spoldzielczy W Raszynie,http://www.bsraszyn.pl/pl/raporty-roczne
"Sparkasse an der Lippe, Zweckverbandssparkasse der Städte Lünen, Selm und Werne",https://www.sparkasse-adl.de/de/home/toolbar/preise-und-hinweise.html?n=true&stref=footer
Cooperativa De Crédito De Livre Admissão Da Região De Frutal Ltda,https://www.sicoob.com.br/web/sicoobfrutal/relatorios
Danske Bank Plc,http://www.danskebank.fi/en-fi/About/Press/Publications/Pages/Financialinformation.aspx
Bank of Mongolia,https://www.mongolbank.mn/en/category/9000
Capitron Bank,https://www.capitronbank.mn/about/20?lang=en&type=about
ASR Admin N.V.,https://www.asrnederland.nl/asr-bank
Cassa Rurale ed Artigiana di Rivarolo Mantovano (Mantova) - Credito Cooperativo,http://www.bccrivarolo.it/Bilanci.asp
Raiffeisenbank Eg Asbach-Sorga,https://www.rb-asbach.de/wir-fuer-sie/ueber-uns/zahlen-fakten.html
Taiwan Cooperative Bills Finance Corp,https://www.tcb-bank.com.tw/brief_introduction/balance_inf/Pages/balance_sheet.aspx
Banque Bemo Saudi Fransi SA,http://www.bbsfbank.com/en/About-Us/Investor-Relations/Financial-Statement
BSI SA,https://www.bsibank.ch/it/
Alliance Investment Bank Berhad,https://www.alliancebank.com.my/investment/corporate/investor-relations/annual-reports.aspx
Cassa Depositi e Prestiti,https://www.cdp.it/investitori/informazioni-finanziarie/bilanci/n2017.kl
United Bank For Africa (Uk) Limited,https://www.ubagroup.com/countries/gb/
"Susquehanna Bancshares, Inc.",http://ir.susquehanna.net/docs.aspx?iid=100457
Volksbank Amelsbüren eG,https://www.vb-amelsbueren.de/wir-fuer-sie/ueber-uns/zahlen-und-fakten.html#parsys_linkbox_0
Ecology Building Society (The),http://www.ecology.co.uk/about/corporate/
Raiffeisenbank Wiesedermeer-Wiesede-Marcardsmoor eG,https://www.raibawiesedermeer.de/service/rechtliche-hinweise/impressum.html
COOPERATIVA DE CREDITO CREDCOOPER LTDA.,http://sicoobcredcooper.com.br/pagina.php?pg=http:www.sicoobcredcooper.com.brdemonstracoes
Cooperativa de Crédito de Livre Admissão do Centro Sul de Mato Grosso do Sul,http://www.sicoob.com.br/web/sicoobmtms/sicoob-dourados
Capital Desjardins inc,https://www.desjardins.com/a-propos/relations-investisseurs/rapports-annuels-trimestriels/capital-desjardins/index.jsp
FIDOR Bank AG,https://www.fidor.de/about-fidor/company
Citibank Europe Plc,https://www.citigroup.com/citi/investor/reg.htm
Banca Progetto Spa,https://www.bancaprogetto.it/chi-siamo
Sparkasse Hainburg-Bruck-Neusiedl,https://www.sparkasse.at/hainburg/wir-ueber-uns
Banque Populaire du Massif Central SC,http://www.massifcentral.banquepopulaire.fr/portailinternet/Editorial/VotreBanque/Pages/Rapport-Annuel-AURA.aspx?xtcr=1&xtmc=&vary=0-0-0
Cassa di risparmio di Bra SpA,http://www.crbra.it/index.php?method=section&id=94
Investbank,https://www.ase.com.jo/en/company_guide/disclosures/211
Cooperativa De Credito Da Regiao De Fronteiras De Ro/Mt Ltda,www.credisis.com.br/154
Banco Penta,http://www.bancopenta.cl/info_publico.aspx
"Narodni rozvojova banka, a.s.",https://www.nrb.cz/o-nas/povinne-uverejnovane-informace/veskere-informace-o-hospodareni-nasi-banky/
Maldives Islamic Bank Pvt Ltd,http://www.mib.com.mv/downloads
Asia Plus Group Holdings Public Company Limited,https://www.asiaplusgroup.co.th/investor-inside.php?id=188
Parsian Bank,https://www.parsian-bank.ir/Portal/Home/Default.aspx?CategoryID=2317abba-8a62-4db6-9721-9019a4ad36df
Vakif Gayrimenkul Yatirim Ortakligi A.S.,http://www.vakifgyo.com.tr/yatirimci-iliskileri/raporlar/finansal-raporlar
"Unicredit Leasing CZ, AS",http://www.cac.cz/en/company/annual-reports.html
Cassa di Risparmio di Cesena SpA,http://www.carispcesena.it/index.php/investor-relations/bilanci
Stadtsparkasse Felsberg,https://www.ssk-felsberg.de/module/ihre_sparkasse/index.php?n=%2Fmodule%2Fihre_sparkasse%2F
Cooperativa De Ahorro Y Credito Construccion Comercio Y Produccion Ltda,https://coopccp.fin.ec/transparencia/
Sparkasse Mittelfranken-Süd,https://www.sparkasse-mittelfranken-sued.de/de/home/toolbar/preise-und-hinweise.html?n=true&stref=footer
Flushing Financial Corporation,https://investor-relations.flushingfinancialcorp.com/investor-relations/default.aspx
Banco de Ahorro Y Credito BDA SA,http://www.bancobda.com/
Volksbank Ried im Innkreis,http://www.vb-ooe.at/ihre-regionalbank/geschaeftsberichte
Kvevlax Sparbank,https://www.saastopankki.fi/sv-se/banker-och-kontor/kvevlax-sparbank/nyheter
Al-Amanah Islamic Investment Bank of the Philippines,http://amanahbank.gov.ph/index.php/downloads
Universal Investment Bank ad Skopje,http://www.unibank.com.mk/categories/view/597
Caixa Geral de Depositos,https://www.cgd.pt/english/investor-relations/financial-information/pages/pillar-3-report.aspx
Caixa Geral de Depositos,https://www.cgd.pt/Investor-Relations/Informacao-Financeira/CGD/Relatorios-Contas/Pages/Relatorios-Contas-CGD.aspx
Stadshypotek AB,https://www.handelsbanken.com/sv/investor-relations/rapporter-och-presentationer
Siikajoen Osuuspankki,https://www.op.fi/web/op-siikajoki/pankin-esittely
Banco Capital C.A.,http://www.bancocapital.com/transparencia-de-la-informacion/informacion-financiera.html
Cassa Rurale di Bolzano,https://www.raiffeisen.it/it/cassa-rurale-di-bolzano/noi-banca-cooperativa/chi-siamo/relazioni-di-bilancio-ed-informazioni-al-pubblico.html
BNP PARIBAS FORTIS SA,https://www.bnpparibasfortis.com/investors/financial-reports
Banco Morgan Stanley S.A.,https://www.morganstanley.com.br/sobre-nos/gerenciamento-de-riscos-e-de-capital
Turkish Finansal Kiralama AS,http://www.turkishleasing.com/finansal_raporlar
Joint Stock Company BankPozitiv Kazakhstan Subsidiary bank of Bank Hapoalim BM,http://www.bankpozitiv.kz/product/transactions/PMFININFO_01.jsp
"Cetelem, S.A. de C.V., SOFOM, E.R",https://www.bnpparibas-pf.com.mx/quienes-corporativa.html
"Closed Joint–Stock Company ""Absolutbank""",https://optikurs.by/o-nkfo/raskryitie-informaczii/finansovaya-otchetnost/
"COOPERATIVA DE CREDITO, POUPANCA E INVESTIMENTO VALE DO CERRADO",www.sicredi.com.br/html/conheca-o-sicredi/relatorios/
CITIBANK NIGERIA LIMITED,https://www.citigroup.com/citi/about/countries-and-jurisdictions/nigeria.html
"Summit Financial Group, Inc.",https://www.summitfgi.com/news/news-filings
Cooperativa De Crédito De Livre Admissão De Associados Vale Do Chapecozinho,https://www.sicoob.com.br/web/sicoobvalcredisul/relatorios/-/document_library/O3r9u4hoQPtB/view/6803035?_com_liferay_document_library_web_portlet_DLPortlet_INSTANCE_O3r9u4hoQPtB_redirect=https%3A%2F%2Fwww.sicoob.com.br%2Fweb%2Fsicoobvalcredisul%2Frelatorios%3Fp_p_id%3Dcom_liferay_document_library_web_portlet_DLPortlet_INSTANCE_O3r9u4hoQPtB%26p_p_lifecycle%3D0%26p_p_state%3Dnormal%26p_p_mode%3Dview
Cooperativa De Crédito De Livre Admissão De Associados Vale Do Chapecozinho,https://www.sicoob.com.br/web/sicoobvalcredisul/demonstracoes-financeiras
Cooperativa Central De Credito Do Norte/Nordeste,http://www.sicredinne.com.br/central-sicredi-nne/demonstracoes-contabeis/
InvestitionsBank des Landes Brandenburg,http://www.ilb.de/de/ueber_uns/geschaeftsberichte/geschaeftsbericht_2013/index.html
Cassa Raiffeisen di Laces,https://www.raiffeisen.it/de/latsch/wir-sind-genossenschaft/transparenz-und-mitteilungen/offenlegung.html
Cooperativa De Crédito De Livre Admissão Do Vale Do Rio Grande Ltda,http://www.sicoobuberaba.com.br/publicacoes
"Blue Ridge Bankshares, Inc.",https://www.blueridgebankshares.com/financials/sec-filings/default.aspx
Yesil Gayrimenkul Yatirim Ortakligi A.S.,http://www.yesilgyo.com.tr/faaliyet-raporlari.php
Stadtsparkasse Gevelsberg-Wetter,https://www.sparkasse-gw.de/de/home/toolbar/preise-und-hinweise.html
Thanachart Capital Public Company Limited,https://www.thanachart.co.th/en/investor-relations/downloads/financial-statements
"Westbury Bancorp, Inc.",https://www.westburybankwi.com/Investor-Relations
National Bank of Georgia,https://www.nbg.gov.ge/index.php?m=368&year=2015
DVB Bank SE,https://www.dvbbank.com/en/investors/publications/regulatory-risk-reports
Dundee Corporation,https://www.dundeecorporation.com/investor-relations/investor-and-analyst-support/default.aspx
Banca di Credito Cooperativo di Terra d'Otranto (Provincia di Lecce),http://www.bccterradotranto.it/template/default.asp?i_menuID=55899
Banco Rodobens SA,https://ri.rodobens.com.br/en/documentos-do-banco-rodobens-s-a/
Yardville National Bancorp,http://www.snl.com/Interactive/IR/docs.asp?IID=100872
TINK GERMANY GMBH,https://tink.com/de/impressum/
Banque Sahélo-Saharienne pour l'Investissement et le Commerce,http://www.bsicbank.com/index.php?option=com_content&view=article&id=306&itemid=575&lang=fr
Finsol Sociedade De Crédito Ao Microempreendedor E À Empresa De Pequeno Porte S.,http://www.finsol.com.br/relacao-investidor.php
Anadolubank Nederland NV,http://www.anadolubank.nl/nl/index.php/ab/content/financial-information
BANCA DI CREDITO COOPERATIVO DI CARAVAGGIO,http://www.bcccaravaggio.it/ricerca.asp?target=bilanci&cbNews=Y&cbSite=Y&cbDoc=Y
"Banco Occidental de Descuento, Banco Universal CA",http://www.bod.com.ve/el-banco/
Deutsche Bank AS,https://www.db.com/turkey/tr/content/finansal-bilgiler.html
Banca di credito popolare SCRL,http://www.bcp.it/wps/portal/BCP/header/la-banca/dettaglio/InformativeSocietarie
Bank of Palestine Plc,https://bankofpalestine.com/en/investor-relations
ProCredit Holding AG & Co. KGaA,https://www.procredit-holding.com/de/investor-relations/berichte-und-veroffentlichungen/finanzberichte/?noredirect=de_DE
"JIANGXI YUMIN BANK CO., LTD.",https://www.ymbank.com/node/400
Finint S.P.A.,https://www.bancafinint.com/it/bilanci-relazioni.php
Finint S.P.A.,https://www.bancafinint.com/it/dati-documenti-societari.php
Banco Security,https://www.security.cl/investor-relations/es/financial-information/earnings-releases
Cooperativa De Crédito De Livre Admissao De Associados Auriverde,http://www.sicoobsc.com.br/credial/sicoob-sc/historico/resultados/
Citibank-Maghreb SA,https://www.citigroup.com/citi/about/countries-and-jurisdictions/morocco.html
International Monetary Fund,https://www.imf.org/external/pubs/ft/quart/index.htm
"Peoples Bancorp of North Carolina, Inc",https://pebk.q4ir.com/filings-financials/financial-documents/default.aspx
FirstCaribbean International Bank (Jamaica) Limited,https://www.cibc.com/fcib/about-us/investor-relations/annual-reports.html
FMBCapital Holdings Plc,https://fmbcapitalgroup.com/investor-relations/annual-reports/
Pt Bank Mayora,http://www.bankmayora.com/read/94/audit
National Bank of the Republic of Macedonia,http://www.nbrm.mk/?ItemID=A0E307FABF3C7D428085A0C0FE14CEFC
VR Bank Feuchtwangen Limes eG,https://www.vr-feuchtwangen.de/wir-fuer-sie/ueber-uns/zahlen-fakten.html
Kiwibank Limited,http://www.kiwibank.co.nz/about-us/investor-centre/reports-and-presentations.asp
Mucoba Bank Plc,http://www.mucobatz.com/perfomances/
